match_id,winner_home_or_away,winner_team_name,home_score,away_score,home_substitutions,away_substitutions,red_cards,matchweek,home_name,home_starters_0,home_starters_1,home_starters_2,home_starters_3,home_starters_4,home_starters_5,home_starters_6,home_starters_7,home_starters_8,home_starters_9,home_starters_10,home_subs_0,home_subs_1,home_subs_2,home_subs_3,home_subs_4,home_subs_5,home_subs_6,home_subs_7,home_subs_8,home_possession,home_shots_on_target,home_shots,home_touches,home_passes,home_tackles,home_clearances,home_corners,home_offsides,home_yellow_cards,home_fouls_conceded,away_name,away_starters_0,away_starters_1,away_starters_2,away_starters_3,away_starters_4,away_starters_5,away_starters_6,away_starters_7,away_starters_8,away_starters_9,away_starters_10,away_subs_0,away_subs_1,away_subs_2,away_subs_3,away_subs_4,away_subs_5,away_subs_6,away_subs_7,away_subs_8,away_possession,away_shots_on_target,away_shots,away_touches,away_passes,away_tackles,away_clearances,away_corners,away_offsides,away_yellow_cards,away_fouls_conceded
74911,away,Arsenal,0,2,4,3,0,1,Crystal Palace,Vicente Guaita,Tyrick Mitchell,Marc Guéhi,Joachim Andersen,Nathaniel Clyne,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Jeffrey Schlupp,Cheick Oumar Doucouré,Odsonne Édouard,Sam Johnstone,Joel Ward,Chris Richards,Luka Milivojevic,Will Hughes,Malcolm Ebiowei,Jairo Riedewald,Jean-Philippe Mateta,Luke Plange,56.3,2,10,770,562,18,19,3,1,1,16,Arsenal,Aaron Ramsdale,Ben White,Gabriel Magalhães,William Saliba,Oleksandr Zinchenko,Thomas Partey,Martin Ødegaard,Granit Xhaka,Bukayo Saka,Gabriel Jesus,Gabriel Martinelli,Matt Turner,Kieran Tierney,Rob Holding,Cédric Soares,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah,Nicolas Pépé,Reiss Nelson,43.7,2,10,652,438,29,24,5,2,2,11
74912,home,Bournemouth,2,0,3,4,0,1,Bournemouth,Mark Travers,Lloyd Kelly,Chris Mepham,Jefferson Lerma,Adam Smith,Ben Pearson,Philip Billing,Jordan Zemura,Dominic Solanke,Marcus Tavernier,Kieffer Moore,Will Dennis,Jack Stacey,James Hill,Lewis Cook,Ryan Christie,Emiliano Marcondes,Junior Stanislas,Siriki Dembélé,Jaidon Anthony,34.4,3,7,501,301,20,36,5,1,3,18,Aston Villa,Emiliano Martínez,Matty Cash,Diego Carlos,Ezri Konsa,Lucas Digne,John McGinn,Jacob Ramsey,Boubacar Kamara,Danny Ings,Philippe Coutinho,Leon Bailey,Robin Olsen,Tyrone Mings,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Emiliano Buendía,Ollie Watkins,Cameron Archer,65.6,2,15,770,571,10,8,5,4,3,16
74913,away,Chelsea,0,1,3,5,0,1,Everton,Jordan Pickford,James Tarkowski,Nathan Patterson,Yerry Mina,Vitaliy Mykolenko,Ben Godfrey,Dwight McNeil,Demarai Gray,Abdoulaye Doucouré,Alex Iwobi,Anthony Gordon,Asmir Begovic,Mason Holgate,Michael Keane,Rúben Vinagre,Allan,Dele Alli,Jean-Philippe Gbamin,Lewis Warrington,Stanley Mills,37.3,4,8,533,335,24,27,4,0,3,14,Chelsea,Édouard Mendy,Thiago Silva,Kalidou Koulibaly,César Azpilicueta,Jorginho,Ben Chilwell,N'Golo Kanté,Reece James,Raheem Sterling,Mason Mount,Kai Havertz,Kepa Arrizabalaga,Trevoh Chalobah,Marc Cucurella,Mateo Kovacic,Christian Pulisic,Ruben Loftus-Cheek,Hakim Ziyech,Conor Gallagher,Armando Broja,62.7,6,15,778,566,19,16,16,2,2,11
74914,draw,draw,2,2,3,4,0,1,Fulham,Marek Rodák,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Neeskens Kebano,Bobby De Cordova-Reid,Andreas Pereira,João Palhinha,Aleksandar Mitrovic,Bernd Leno,Shane Duffy,Kevin Mbabu,Tom Cairney,Tyrese Francois,Luke Harris,Manor Solomon,Rodrigo Muniz,Jay Stansfield,33.1,3,9,499,294,25,30,4,4,2,7,Liverpool,Alisson,Virgil van Dijk,Andrew Robertson,Joël Matip,Trent Alexander-Arnold,Fabinho,Thiago,Jordan Henderson,Roberto Firmino,Mohamed Salah,Luis Díaz,Adrián,Joe Gomez,Stefan Bajcetic,Sepp van den Berg,Luke Chambers,James Milner,Harvey Elliott,Fábio Carvalho,Darwin Núñez,66.9,4,11,811,612,11,14,4,4,0,9
74915,home,Leeds United,2,1,4,1,0,1,Leeds United,Illan Meslier,Robin Koch,Diego Llorente,Pascal Struijk,Rasmus Kristensen,Brenden Aaronson,Marc Roca,Jack Harrison,Tyler Adams,Rodrigo,Patrick Bamford,Kristoffer Klaesson,Leo Hjelde,Cody Drameh,Crysencio Summerville,Darko Gyabi,Mateusz Klich,Archie Gray,Joe Gelhardt,Sam Greenwood,40.1,4,12,551,355,21,22,6,0,2,13,Wolverhampton Wanderers,José Sá,Rayan Aït-Nouri,Nathan Collins,Jonny,Maximilian Kilman,Pedro Neto,Rúben Neves,Daniel Podence,Morgan Gibbs-White,Leander Dendoncker,Hwang Hee-Chan,Matija Sarkic,Yerson Mosquera,Willy Boly,Conor Coady,Hugo Bueno,Connor Ronan,Luke Cundle,Joseph Hodge,Chem Campbell,59.9,6,15,773,546,16,16,4,1,0,9
74916,draw,draw,2,2,1,5,0,1,Leicester City,Danny Ward,Wesley Fofana,Jonny Evans,Daniel Amartey,James Justin,Youri Tielemans,Kiernan Dewsbury-Hall,Wilfred Ndidi,Timothy Castagne,Jamie Vardy,James Maddison,Daniel Iversen,Çaglar Söyüncü,Luke Thomas,Marc Albrighton,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Ayoze Pérez,Patson Daka,55.4,5,14,748,580,13,12,5,2,0,6,Brentford,David Raya,Aaron Hickey,Rico Henry,Ben Mee,Pontus Jansson,Christian Nørgaard,Mathias Jensen,Vitaly Janelt,Yoane Wissa,Ivan Toney,Bryan Mbeumo,Thomas Strakosha,Mads Bech Sørensen,Mads Roerslev,Finley Stevens,Josh Dasilva,Frank Onyeka,Shandon Baptiste,Halil Dervisoglu,Keane Lewis-Potter,44.6,3,8,604,457,11,16,6,2,0,5
74917,home,Newcastle United,2,0,5,3,0,1,Newcastle United,Nick Pope,Kieran Trippier,Fabian Schär,Matt Targett,Dan Burn,Joelinton,Joe Willock,Bruno Guimarães,Callum Wilson,Allan Saint-Maximin,Miguel Almirón,Martin Dúbravka,Paul Dummett,Sven Botman,Matt Ritchie,Ryan Fraser,Jacob Murphy,Elliot Anderson,Sean Longstaff,Chris Wood,61.4,10,23,675,469,19,14,11,2,0,9,Nottingham Forest,Dean Henderson,Joe Worrall,Moussa Niakhaté,Scott McKenna,Neco Williams,Jack Colback,Lewis O'Brien,Harry Toffolo,Jesse Lingard,Sam Surridge,Brennan Johnson,Wayne Hennessey,Giulian Biancone,Loïc Mbe Soh,Orel Mangala,Cafú,Oliver Hammond,Taiwo Awoniyi,Alex Mighten,Lyle Taylor,38.6,0,5,504,294,15,36,1,0,3,14
74918,home,Tottenham Hotspur,4,1,5,5,0,1,Tottenham Hotspur,Hugo Lloris,Eric Dier,Cristian Romero,Ben Davies,Pierre-Emile Højbjerg,Emerson Royal,Ryan Sessegnon,Rodrigo Bentancur,Son Heung-Min,Harry Kane,Dejan Kulusevski,Fraser Forster,Matt Doherty,Davinson Sánchez,Djed Spence,Clément Lenglet,Ivan Perisic,Yves Bissouma,Bryan Gil,Lucas Moura,57.5,8,18,733,554,24,18,10,2,3,11,Southampton,Gavin Bazunu,Kyle Walker-Peters,Moussa Djenepo,Mohammed Salisu,Jan Bednarek,Yan Valery,Oriol Romeu,James Ward-Prowse,Roméo Lavia,Joe Aribo,Adam Armstrong,Alex McCarthy,Jack Stephens,Romain Perraud,Armel Bella-Kotchap,Nathan Redmond,Stuart Armstrong,Mohamed Elyounoussi,Ibrahima Diallo,Che Adams,42.5,2,10,596,410,14,19,2,0,0,6
74919,away,Brighton and Hove Albion,1,2,5,4,0,1,Manchester United,David de Gea,Harry Maguire,Lisandro Martínez,Diogo Dalot,Luke Shaw,Bruno Fernandes,Fred,Scott McTominay,Marcus Rashford,Christian Eriksen,Jadon Sancho,Tom Heaton,Tyrell Malacia,Raphaël Varane,Aaron Wan-Bissaka,Donny van de Beek,James Garner,Alejandro Garnacho,Cristiano Ronaldo,Anthony Elanga,62.9,5,17,732,548,12,10,6,3,4,7,Brighton and Hove Albion,Robert Sánchez,Adam Webster,Lewis Dunk,Joël Veltman,Alexis Mac Allister,Pascal Groß,Adam Lallana,Moisés Caicedo,Solly March,Leandro Trossard,Danny Welbeck,Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul van Hecke,Enock Mwepu,Kaoru Mitoma,Neal Maupay,Jeremy Sarmiento,Deniz Undav,37.1,4,15,509,326,14,24,2,1,1,12
74920,away,Manchester City,0,2,5,5,0,1,West Ham United,Lukasz Fabianski,Ben Johnson,Aaron Cresswell,Kurt Zouma,Vladimír Coufal,Pablo Fornals,Manuel Lanzini,Jarrod Bowen,Tomás Soucek,Declan Rice,Michail Antonio,Alphonse Aréola,Darren Randolph,Harrison Ashby,Nikola Vlasic,Flynn Downes,Conor Coventry,Gianluca Scamacca,Saïd Benrahma,Armstrong Oko-Flex,24.6,1,6,391,263,14,17,1,4,0,8,Manchester City,Ederson,Kyle Walker,Rúben Dias,Nathan Aké,João Cancelo,Ilkay Gündogan,Rodri,Kevin De Bruyne,Erling Haaland,Jack Grealish,Phil Foden,Stefan Ortega,John Stones,Rico Lewis,Josh Wilson-Esbrand,Kalvin Phillips,Bernardo Silva,Cole Palmer,Julián Álvarez,Riyad Mahrez,75.4,2,14,967,833,6,11,4,1,1,4
